Date,Open,High,Low,Close,Volume
1998-11-02,8180,8180,8180,8180,680
1998-11-04,8790,8790,8790,8790,11
1998-11-06,8790,8790,8790,8790,10
1998-11-09,8200,8200,8200,8200,2
1998-11-27,8000,8000,8000,8000,202
1998-12-18,8500,8500,8500,8500,75
1998-12-21,8500,8500,8500,8500,20
1999-01-08,8500,8500,8500,8500,208
1999-01-27,8500,8500,8500,8500,451
1999-01-29,8500,8500,8500,8500,26
1999-02-05,9000,9000,9000,9000,10
1999-02-12,9300,9300,9300,9300,150
1999-02-19,9300,9300,9300,9300,3099
1999-02-24,9500,9500,9500,9500,7000
1999-02-26,9300,9300,9300,9300,10
1999-03-03,9300,9300,9300,9300,5
1999-03-12,9300,9300,9300,9300,10
1999-03-24,9500,9500,9500,9500,251
1999-03-26,9500,9500,9500,9500,104
1999-03-31,9500,9500,9500,9500,10
1999-04-02,10000,10000,10000,10000,145
1999-06-14,9250,9250,9250,9250,110
1999-09-10,9250,9250,9250,9250,50
2001-03-30,8500,8500,8500,8500,10
2001-05-04,8500,8500,8500,8500,1
2001-07-23,7950,7950,7950,7950,125
2001-08-24,7895,7895,7895,7895,15
2002-03-08,7800,7800,7800,7800,18
2002-05-17,7410,7410,7410,7410,225
2002-07-17,7405,7405,7405,7405,63
2002-12-05,7000,7000,7000,7000,10399
2003-07-14,7000,7000,7000,7000,4
2003-08-22,7000,7000,7000,7000,197
2003-08-25,7000,7000,7000,7000,20
2003-08-27,7000,7000,7000,7000,37
2003-09-10,7000,7000,7000,7000,10
2003-10-14,6475,6475,6475,6475,46
2004-04-28,6475,6475,6475,6475,50
2004-07-12,6450,6450,6450,6450,100
2004-11-02,6450,6450,6450,6450,50
2004-12-31,6450,6450,6450,6450,1
2005-03-24,4630,4630,4630,4630,10
2005-05-17,4285,4285,4285,4285,30
2005-05-23,4285,4285,4285,4285,10399
2005-06-14,3965,3965,3965,3965,50
2005-06-21,3600,3600,3600,3600,12
2005-07-12,3600,3600,3600,3600,9
2005-08-26,3080,3080,3080,3080,25
2005-08-29,3080,3080,3080,3080,40
2005-09-23,2900,2900,2900,2900,50
2005-09-26,2850,2850,2850,2850,10
2005-09-29,2640,2640,2640,2640,15
2005-09-30,2445,2445,2445,2445,20
2005-10-03,2265,2265,2265,2265,10
2005-10-04,2100,2100,2100,2100,40
2005-10-05,2100,2100,2100,2100,50
2005-10-19,1950,1950,1950,1950,314
2005-10-20,1950,1950,1950,1950,6
2005-10-24,2100,2100,2100,2100,15
2005-10-27,1950,1950,1950,1950,135
2005-10-28,1950,1950,1950,1950,25
2005-11-11,1950,1950,1950,1950,113
2005-11-23,1950,1950,1950,1950,66
2005-11-24,1805,1805,1805,1805,401
2005-11-28,1950,1950,1950,1950,77
2005-11-29,2015,2015,2015,2015,225
2005-12-13,2000,2000,2000,2000,200
2005-12-19,2480,2480,2480,2480,10
2005-12-26,3000,3000,3000,3000,11
2006-02-09,2495,2495,2495,2495,90
2006-02-22,2495,2495,2495,2495,18
2006-03-02,2495,2495,2495,2495,2
2006-03-24,2495,2495,2495,2495,2
2006-03-28,2495,2495,2495,2495,1
2006-04-26,2495,2495,2495,2495,12
2006-04-27,2495,2495,2495,2495,7
2006-05-17,2495,2495,2495,2495,2
2006-05-23,2495,2495,2495,2495,30
2006-05-24,2495,2495,2495,2495,10
2006-05-30,2400,2400,2400,2400,8
2006-06-07,2220,2220,2220,2220,100
2006-06-15,2100,2100,2100,2100,25
2006-06-28,2100,2100,2100,2100,3
2006-08-25,2100,2100,2100,2100,12
2006-09-06,2100,2100,2100,2100,19
2006-09-08,2100,2100,2100,2100,3
2006-10-16,2000,2000,2000,2000,23
2006-10-17,2000,2000,2000,2000,57
2006-10-27,2000,2000,2000,2000,50
2006-12-14,1850,1850,1850,1850,47
2006-12-15,1850,1850,1850,1850,53
2006-12-22,1600,1600,1600,1600,47
2006-12-26,1500,1500,1500,1500,99
2006-12-27,1500,1500,1500,1500,6
2007-01-02,1500,1500,1500,1500,162
2007-01-05,1500,1500,1500,1500,25
2007-01-23,1500,1500,1500,1500,26
2007-02-01,1500,1500,1500,1500,5
2007-03-26,1500,1500,1500,1500,2
2007-04-24,1500,1500,1500,1500,2
2007-04-26,1500,1500,1500,1500,15
2007-05-30,1500,1500,1500,1500,83
2007-05-31,1500,1500,1500,1500,37
2007-06-05,1500,1500,1500,1500,80
2007-06-07,1500,1500,1500,1500,5
2007-06-21,1500,1500,1500,1500,5
2007-06-26,1500,1500,1500,1500,53
2007-06-27,1500,1500,1500,1500,15
2007-06-28,1500,1500,1500,1500,21
2007-07-03,1660,1660,1660,1660,311
2007-07-24,1910,1910,1910,1910,56
2007-09-14,2200,2200,2200,2200,10
2007-09-19,2365,2365,2365,2365,8
2007-09-28,2730,2730,2730,2730,10
2007-10-11,2930,2930,2930,2930,15
2007-10-16,3145,3145,3145,3145,17
2007-10-17,3250,3250,3250,3250,27
2007-11-02,3610,3610,3610,3610,36
2007-11-07,4170,4170,4170,4170,80
2007-11-09,4815,4815,4815,4815,165
2007-11-27,5600,5600,5600,5600,125
2007-11-29,6000,6000,6000,6000,30
2007-12-05,6000,6000,6000,6000,203
2007-12-06,5800,5800,5800,5800,71
2007-12-07,5900,5900,5900,5900,144
2007-12-11,6000,6000,6000,6000,8
2007-12-13,6000,6000,6000,6000,14
2007-12-17,6000,6000,6000,6000,3
2007-12-20,6000,6000,6000,6000,40
2008-01-09,6000,6000,6000,6000,20
2008-01-11,6000,6000,6000,6000,20
2008-01-29,5550,5550,5550,5550,245
2008-02-04,5600,5600,5600,5600,9
2008-02-06,5950,5950,5950,5950,20
2008-02-11,5950,5950,5950,5950,4
2008-02-18,5950,5950,5950,5950,1
2008-02-19,5950,5950,5950,5950,10
2008-02-21,5950,5950,5950,5950,10
2008-02-22,5950,5950,5950,5950,2
2008-03-12,6005,6005,6005,6005,30
2008-04-02,6005,6005,6005,6005,68
2008-04-03,6005,6005,6005,6005,82
2008-04-07,6010,6010,6010,6010,8
2008-04-22,6010,6010,6010,6010,19
2008-04-23,6460,6460,6460,6460,36
2008-04-25,6010,6010,6010,6010,68
2008-04-29,6010,6010,6010,6010,1
2008-05-06,6010,6010,6010,6010,2
2008-05-07,6010,6010,6010,6010,18
2008-05-08,6010,6010,6010,6010,5
2008-05-09,6010,6010,6010,6010,5
2008-05-13,6005,6005,6005,6005,20
2008-05-21,6005,6005,6005,6005,20
2008-05-22,5600,5600,5600,5600,10
2008-05-26,5600,5600,5600,5600,100
2008-05-27,5500,5500,5500,5500,20
2008-06-04,5315,5315,5315,5315,55
2008-06-11,5315,5315,5315,5315,20
2008-06-16,5305,5305,5305,5305,53
2008-06-17,5300,5300,5300,5300,10
2008-06-19,5300,5300,5300,5300,1
2008-06-27,5300,5300,5300,5300,20
2008-07-02,5500,5500,5500,5500,75
2008-07-10,5500,5500,5500,5500,3
2008-07-11,5650,5650,5650,5650,36
2008-08-05,6070,6070,6070,6070,10
2008-08-06,6500,6500,6500,6500,10
2008-08-12,6505,6505,6505,6505,49
2008-08-28,6505,6505,6505,6505,53
2008-09-01,6600,6600,6600,6600,10
2008-09-04,6500,6500,6500,6500,54
2008-09-05,6500,6500,6500,6500,113
2008-09-11,6500,6500,6500,6500,20
2008-09-24,6500,6500,6500,6500,3
2008-10-02,6550,6550,6550,6550,50
2008-10-03,6550,6550,6550,6550,20
2008-10-06,6550,6550,6550,6550,500
2008-10-07,6555,6555,6555,6555,10
2008-10-10,6560,6560,6560,6560,10
2008-10-21,6560,6560,6560,6560,90
2008-10-22,6560,6560,6560,6560,50
2008-10-24,6560,6560,6560,6560,90
2008-10-27,6560,6560,6560,6560,10
2008-11-03,6600,6600,6600,6600,94
2008-12-19,6600,6600,6600,6600,33
2008-12-23,6600,6600,6600,6600,3
2009-01-22,6600,6600,6600,6600,1
2009-04-07,6600,6600,6600,6600,5
2009-07-08,6600,6600,6600,6600,2
2009-07-17,6600,6600,6600,6600,25
2009-07-23,6595,6595,6595,6595,10
2009-08-28,6595,6595,6595,6595,5
2009-09-01,6500,6500,6500,6500,25
2009-12-18,6495,6495,6495,6495,8
2010-01-05,6000,6000,6000,6000,30
2010-01-07,6000,6000,6000,6000,9
2010-02-24,5550,5550,5550,5550,27
2010-07-08,5000,5000,5000,5000,37
2010-07-14,5000,5000,5000,5000,3
2010-07-19,5000,5000,5000,5000,7
2010-07-22,5000,5000,5000,5000,3
2010-08-04,5000,5000,5000,5000,26
2010-08-13,5000,5000,5000,5000,10
2010-08-16,5000,5000,5000,5000,27
2010-08-18,5000,5000,5000,5000,4
2010-08-24,5000,5000,5000,5000,1
2010-08-30,5000,5000,5000,5000,3
2010-09-09,4635,4635,4635,4635,23
2010-10-05,4635,4635,4635,4635,7
2010-10-12,4290,4290,4290,4290,13
2010-10-21,4000,4000,4000,4000,20
2010-10-25,4000,4000,4000,4000,4
2010-10-27,4000,4000,4000,4000,20
2010-11-10,4000,4000,4000,4000,2
2010-12-14,3500,3500,3500,3500,15
2011-01-05,3500,3500,3500,3500,2
2011-01-06,3240,3240,3240,3240,30
2011-02-10,3220,3220,3220,3220,40
2011-05-26,3220,3220,3220,3220,30
2011-05-30,3220,3220,3220,3220,100
2011-06-03,3220,3220,3220,3220,5
2011-06-06,3220,3220,3220,3220,1
2011-06-09,2980,2980,2980,2980,13
2011-06-17,2900,2900,2900,2900,30
2011-06-23,2900,2900,2900,2900,2
2011-07-05,2900,2900,2900,2900,5
2011-07-20,2900,2900,2900,2900,3
2011-07-21,2900,2900,2900,2900,12
2011-07-29,2900,2900,2900,2900,8
2011-08-02,2710,2710,2710,2710,42
2011-08-11,2710,2710,2710,2710,15
2011-08-17,2600,2600,2600,2600,11
2011-08-19,2600,2600,2600,2600,25
2011-09-08,2600,2600,2600,2600,40
2011-09-21,2700,2700,2700,2700,8
2011-12-02,2700,2700,2700,2700,10
2011-12-05,2700,2700,2700,2700,18
2012-01-09,2700,2700,2700,2700,5
2012-01-20,2700,2700,2700,2700,5
2012-01-27,2700,2700,2700,2700,8
2012-02-23,2700,2700,2700,2700,10
2012-02-24,2700,2700,2700,2700,87
2012-02-27,2700,2700,2700,2700,31
2012-03-01,2900,2900,2900,2900,17
2012-03-27,3000,3000,3000,3000,140
2012-03-29,3000,3000,3000,3000,140
2012-04-12,3000,3000,3000,3000,2
2012-04-19,3000,3000,3000,3000,18
2012-05-04,3225,3225,3225,3225,14
2012-05-15,3250,3250,3250,3250,12
2012-05-22,3230,3230,3230,3230,20
2012-05-23,3240,3240,3240,3240,20
2012-06-05,3500,3500,3500,3500,14
2012-06-08,3600,3600,3600,3600,50
2012-06-11,3500,3500,3500,3500,40
2012-06-13,3600,3600,3600,3600,10
2012-06-29,3705,3705,3705,3705,15
2012-07-27,3705,3705,3705,3705,1
2012-08-16,3705,3705,3705,3705,38
2012-10-01,3705,3705,3705,3705,15
2012-10-03,3800,3800,3800,3800,25
2012-10-10,3705,3705,3705,3705,13
2012-10-24,3980,3980,3980,3980,88
2012-11-23,3700,3700,3700,3700,27
2012-11-27,3700,3700,3700,3700,6
2012-11-30,3975,3975,3975,3975,10
2012-12-07,4270,4270,4270,4270,15
2012-12-11,4000,4000,4000,4000,11
2012-12-12,4000,4000,4000,4000,10
2012-12-26,4000,4000,4000,4000,2
2012-12-31,4000,4000,4000,4000,51
2013-01-03,4000,4000,4000,4000,40
2013-01-04,4000,4000,4000,4000,4
2013-01-09,4005,4005,4005,4005,10
2013-01-11,4000,4000,4000,4000,29
2013-01-14,4000,4000,4000,4000,29
2013-01-15,4000,4000,4000,4000,26
2013-02-06,4300,4300,4300,4300,10
2013-02-07,4620,4620,4620,4620,10
2013-02-11,4620,4620,4620,4620,210
2013-02-15,4960,4960,4960,4960,38
2013-02-18,5330,5330,5330,5330,19
2013-02-19,5330,5330,5330,5330,4
2013-02-20,5725,5725,5725,5725,28
2013-02-21,6150,6150,6150,6150,35
2013-02-22,6150,6150,6150,6150,17
2013-02-25,6610,6610,6610,6610,28
2013-02-27,7105,7105,7105,7105,8
2013-03-01,7105,7105,7105,7105,33
2013-03-04,7635,7635,7635,7635,13
2013-03-05,8205,8205,8205,8205,8
2013-03-06,8820,8820,8820,8820,8
2013-03-07,8820,8820,8820,8820,198
2013-03-08,8820,8820,8820,8820,65
2013-03-11,8820,8820,8820,8820,22
2013-03-12,8820,8820,8820,8820,210
2013-03-14,9000,9000,9000,9000,44
2013-03-15,8900,8900,8900,8900,88
2013-03-19,8900,8900,8900,8900,56
2013-03-20,9560,9560,9560,9560,33
2013-03-21,9560,9560,9560,9560,41
2013-03-26,10000,10000,10000,10000,10
2013-03-29,10000,10000,10000,10000,5
2013-04-02,10000,10000,10000,10000,121
2013-04-09,10500,10500,10500,10500,50
2013-04-10,10500,10500,10500,10500,50
2013-04-11,10500,10500,10500,10500,20
2013-04-15,10500,10500,10500,10500,64
2013-04-19,10700,10700,10700,10700,10
2013-04-23,10700,10700,10700,10700,90
2013-04-24,11000,11000,11000,11000,50
2013-04-29,11000,11000,11000,11000,34
2013-05-02,11000,11000,11000,11000,28
2013-05-10,11000,11000,11000,11000,17
2013-05-17,11500,11500,11500,11500,12
2013-05-22,11500,11500,11500,11500,45
2013-05-23,11500,11500,11500,11500,41
2013-05-24,11500,11500,11500,11500,4
2013-05-27,11500,11500,11500,11500,3
2013-05-28,11500,11500,11500,11500,10
2013-05-29,11500,11500,11500,11500,13
2013-06-03,11500,11500,11500,11500,254
2013-06-04,11500,11500,11500,11500,27
2013-06-05,11000,11000,11000,11000,1034
2013-06-06,11000,11000,11000,11000,6
2013-06-24,11000,11000,11000,11000,12
2013-07-01,10175,10175,10175,10175,44
2013-07-15,9415,9415,9415,9415,12
2013-07-16,8710,8710,8710,8710,13
2013-07-18,8710,8710,8710,8710,21
2013-07-22,8710,8710,8710,8710,7
2013-07-31,8710,8710,8710,8710,2
2013-08-02,8710,8710,8710,8710,1
2013-08-14,8710,8710,8710,8710,1
2013-08-29,8500,8500,8500,8500,33
2013-09-02,8500,8500,8500,8500,15
2013-09-10,8500,8500,8500,8500,2
2013-09-19,7865,7865,7865,7865,55
2013-09-24,7865,7865,7865,7865,90
2013-09-25,7865,7865,7865,7865,1
2013-09-26,8450,8450,8450,8450,76
2013-09-30,7820,7820,7820,7820,11
2013-10-03,7820,7820,7820,7820,10
2013-10-07,7820,7820,7820,7820,66
2013-10-11,8105,8105,8105,8105,15
2013-10-18,8200,8200,8100,8100,157
2013-10-21,8105,8105,8100,8100,4
2013-10-24,8100,8100,8100,8100,6
2013-11-11,7800,8000,7800,8000,35
2013-11-13,8100,8100,8100,8100,15
2013-11-20,7495,8100,7495,8100,21
2013-11-21,8100,8100,8100,8100,1
2013-11-25,7995,7995,7995,7995,60
2013-11-28,7400,7400,7400,7400,18
2013-12-02,7500,7500,7500,7500,10
2013-12-16,7400,7400,7400,7400,30
2013-12-26,6900,6900,6900,6900,4
2013-12-31,6905,6905,6900,6900,9
2014-01-03,6900,6900,6900,6900,20
2014-01-08,7035,7035,7035,7035,500
2014-01-10,7035,7035,7035,7035,40
2014-01-17,7050,7050,7050,7050,8
2014-01-27,7575,7575,7575,7575,20
2014-01-28,7575,7575,7575,7575,1
2014-01-29,7150,7150,7150,7150,1
2014-02-07,7500,7500,7500,7500,94
2014-02-10,7300,7300,7300,7300,6
2014-02-21,7845,7845,7845,7845,34
2014-03-03,8100,8100,8100,8100,64
2014-03-05,8100,8100,8100,8100,68
2014-03-11,8100,8100,8100,8100,117
2014-03-13,8100,8100,8100,8100,10
2014-03-17,8100,8100,8100,8100,1
2014-03-18,8100,8100,8100,8100,20
2014-03-19,8100,8100,8100,8100,1
2014-04-09,8120,8120,8100,8100,20
2014-04-17,8100,8100,8100,8100,112
2014-05-14,8105,8105,8105,8105,5
